Reference_type,access_date,alternate_title,assessment_id,author,date,edition,externalBibCode,internal_taxon_id,internal_taxon_name,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,200183152,"Griffiths, R.A.",,,,22212,Triturus cristatus,,"Newts, Salamanders, Europe, natural history",,,,London,Poyser Natural History,,,,,,Newts and Salamanders of Europe,Book,,,1996
Assessment,,,200183152,"Kuzmin, S.L.",,,,22212,Triturus cristatus,,"amphibians, systematics, distribution, ecology, conservation, USSR",,,,Sofia-Moscow,Pensoft,,,,,,The Amphibians of the Former Soviet Union,Book,,,1999
Assessment,,"",200183152,"Pestov, M. and Anufriev, V.","","",,22212,Triturus cristatus,"","","","",1-2,"","","",FrogLog,"","",Published,The Frog Princess and other projects,journal article,"",46,2001
Assessment,,"",200183152,"Kuzmin, S.L.","","",,22212,Triturus cristatus,"","amphibians,  conservation, USSR","","",24-30,"","","",Oryx,"","",Published,Threatened amphibians in the former Soviet Union: the current situation and the main threats,journal article,"",30,1996
Assessment,,"",200183152,"Garanin, V.I.","","",,22212,Triturus cristatus,"","amphibians, systematics, distribution, ecology, conservation, Russia","","",79-132,"","","",Advances in Amphibian Research in the Former Soviet Union,"","",Published,The distribution of amphibians in the Volga-Kama region,journal article,"",5,2000
Assessment,,,200183152,"Bannikov, A.G., Darevsky, I.S., Ishchenko, V.G., Rustamov, A.K. and Szczerbak, N.N.",,,,22212,Triturus cristatus,,"amphibians,  ecology, systematics, distribution, reviews, USSR",,,,Moscow,Prosvechshenie,,,,,,Opredelitel Zemnovodnykh i Presmykayushchikhsya Fauny SSSR [Guide to Amphibians and Reptiles of the USSR Fauna],Book,,,1977
Assessment,,"",200183152,"Smit, G.","","",,22212,Triturus cristatus,"","","","",3,"","","",FrogLog,"","",Published,DAPTF-Netherlands Report,journal article,"",28,1998
Assessment,,"",200183152,"Mlynarski, M.","","",,22212,Triturus cristatus,"","","","","",Warszawa,Panstwowe Zaklady Wydawnictw Szkolnych,"","","","",Published,Plazy I Gady Polski,book,"",75,1966
Assessment,,"",200183152,"Fog, K.","","",,22212,Triturus cristatus,"","","","",1-2,"","","",FrogLog,"","",Published,Amphibian conservation in Denmark,journal article,"",13,1995
Assessment,,"",200183152,"Joly, P., Miaud, C., Lehmann, A. and Grolet, O.","","",,22212,Triturus cristatus,"","","","",239-248,"","","",Conservation Biology,"","",Published,Habitat matrix effect on pond occupancy in newts,journal article,"",15,2001
