CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,assessment_id,internal_taxon_id,internal_taxon_name
BE,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
CZ,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
GRB-OO,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
FR,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
FRA-FR,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
DE,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
LU,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
NL,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
PT,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
CH,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
GB,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
POR-OO,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
ES,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
SPA-SP,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
GG,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
IM,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
JE,,,Native,Extant,Resident,228185144,59475,Lissotriton helveticus
CZ,,,Native,Extant,Resident,228185921,59478,Lissotriton montandoni
DE,,,Introduced,Extant,Resident,228185921,59478,Lissotriton montandoni
PL,,,Native,Extant,Resident,228185921,59478,Lissotriton montandoni
RO,,,Native,Extant,Resident,228185921,59478,Lissotriton montandoni
SK,,,Native,Extant,Resident,228185921,59478,Lissotriton montandoni
UA,,,Native,Extant,Resident,228185921,59478,Lissotriton montandoni
UKR-UK,,,Native,Extant,Resident,228185921,59478,Lissotriton montandoni
AL,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
BG,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
GR,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
GRC-OO,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
MK,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
RO,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
RS,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
YUG-SE,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
TR,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
TUE-OO,,,Native,Extant,Resident,228186498,172312067,Pelobates balcanicus
FR,,,Native,Extant,Resident,228187495,58052,Pelobates cultripes
FRA-FR,,,Native,Extant,Resident,228187495,58052,Pelobates cultripes
GI,,,Native,Extinct Post-1500,Resident,228187495,58052,Pelobates cultripes
PT,,,Native,Extant,Resident,228187495,58052,Pelobates cultripes
POR-OO,,,Native,Extant,Resident,228187495,58052,Pelobates cultripes
ES,,,Native,Extant,Resident,228187495,58052,Pelobates cultripes
SPA-SP,,,Native,Extant,Resident,228187495,58052,Pelobates cultripes
BA,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
AT,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
RO,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
CH,,,Native,Extinct Post-1500,Resident,228187875,196236126,Pelobates fuscus
MD,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
LT,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
BY,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
BE,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
SI,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
IT,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
NL,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
SE,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
BG,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
HR,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
PL,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
UA,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
CZ,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
DK,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
EE,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
FR,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
SK,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
HU,,,Native,Extant,Resident,228187875,196236126,Pelobates fuscus
